City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
17,Waspan,NI,87.48,overcast clouds,14.7419,-83.9717,Hostal casa de la rose
19,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
22,Hambantota,LK,79.14,clear sky,6.1241,81.1185,Bungalow 63
26,Sawakin,SD,85.78,overcast clouds,19.1059,37.3321,فندق الدويم
28,Arraial Do Cabo,BR,85.96,few clouds,-22.9661,-42.0278,Pousada Porto Praia
30,Butaritari,KI,82.36,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
39,Alyangula,AU,80.47,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
43,Malpe,IN,81.7,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
47,Nago,JP,81.03,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
49,San Quintin,MX,80.6,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
51,Williamsburg,US,86.76,overcast clouds,37.2707,-76.7075,Comfort Suites Williamsburg Historic Area
53,Fukue,JP,76.96,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
54,Buchanan,LR,82.36,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
56,Shwebo,MM,75.92,overcast clouds,22.5667,95.7,MOON SHINE Guest House
57,Manokwari,ID,78.71,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
63,Hihya,EG,76.08,clear sky,30.6713,31.588,مضيفة المركز
69,Alofi,NU,75.09,light rain,-19.0595,-169.9187,Taloa Heights
70,Jizan,SA,83.34,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
73,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
76,Kapaa,US,80.58,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
77,Atuona,PF,77.56,few clouds,-9.8,-139.0333,Villa Enata
80,Sao Joao Da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
84,Kavieng,PG,80.92,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
85,Bengkulu,ID,75.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
86,Sao Filipe,CV,80.38,overcast clouds,14.8961,-24.4956,Hotel Xaguate
87,Harnoli,PK,88.45,clear sky,32.2792,71.5539,Masjid Kosar Tabeeghi Markaz
89,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
90,Tual,ID,80.73,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
