City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chokurdakh,RU,70.6333,147.9167,19.99,96,96,8.68,overcast clouds
1,Bonavista,CA,48.6499,-53.1147,59.0,88,69,12.3,broken clouds
2,Kaitangata,NZ,-46.2817,169.8464,49.93,82,100,13.67,light rain
3,Mansfield,GB,53.1333,-1.2,54.99,88,4,1.99,clear sky
4,Ushuaia,AR,-54.8,-68.3,47.86,61,75,23.02,moderate rain
5,Komsomolskiy,UZ,40.4272,71.7189,57.92,77,75,9.22,broken clouds
6,Nantucket,US,41.2835,-70.0995,73.74,76,40,14.97,scattered clouds
7,Rikitea,PF,-23.1203,-134.9692,73.4,64,100,17.65,overcast clouds
8,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,100,90,17.27,light intensity drizzle
9,Mahebourg,MU,-20.4081,57.7,72.25,88,75,13.8,broken clouds
10,Chimbote,PE,-9.0853,-78.5783,67.77,73,89,12.53,overcast clouds
11,Puerto Ayora,EC,-0.7393,-90.3518,76.96,76,30,11.86,scattered clouds
12,Amga,RU,60.8953,131.9608,25.59,94,33,2.75,scattered clouds
13,Punta Umbria,ES,37.1821,-6.9661,69.24,39,6,15.64,clear sky
14,Mataura,NZ,-46.1927,168.8643,44.47,90,100,7.27,light rain
15,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,50.59,62,40,8.95,scattered clouds
16,Mujiayingzi,CN,42.1167,118.7833,48.96,68,100,5.23,overcast clouds
17,Waspan,NI,14.7419,-83.9717,87.48,73,96,4.97,overcast clouds
18,Iskateley,RU,67.6803,53.1512,35.85,94,66,10.22,broken clouds
19,Avarua,CK,-21.2078,-159.775,75.25,73,75,6.91,broken clouds
20,Vaini,TO,-21.2,-175.2,73.56,88,90,9.22,overcast clouds
21,San Lorenzo,PY,-25.3333,-57.5333,74.59,83,90,15.01,overcast clouds
22,Hambantota,LK,6.1241,81.1185,79.14,100,0,4.61,clear sky
23,Kruisfontein,ZA,-34.0033,24.7314,54.88,72,94,6.13,overcast clouds
24,Mazagao,BR,-0.115,-51.2894,96.85,49,100,6.71,overcast clouds
25,Chapais,CA,49.7834,-74.8492,56.98,45,5,6.38,clear sky
26,Sawakin,SD,19.1059,37.3321,85.78,60,98,8.68,overcast clouds
27,New Norfolk,AU,-42.7826,147.0587,53.74,82,49,1.28,scattered clouds
28,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,69,20,23.02,few clouds
29,Cabo San Lucas,MX,22.8909,-109.9124,92.61,62,20,6.91,few clouds
30,Butaritari,KI,3.0707,172.7902,82.36,65,100,17.63,overcast clouds
31,Muros,ES,42.7762,-9.0603,61.84,80,21,6.49,few clouds
32,Vakhsh,TJ,37.7149,68.8346,59.22,44,20,2.24,few clouds
33,Avera,US,33.194,-82.5271,87.44,41,80,4.54,broken clouds
34,Busselton,AU,-33.65,115.3333,42.08,67,87,3.58,overcast clouds
35,Broken Hill,AU,-31.95,141.4333,53.31,58,0,11.5,clear sky
36,Kedrovyy,RU,56.1667,91.8167,23.41,84,96,2.48,overcast clouds
37,Palafrugell,ES,41.9174,3.1631,72.36,16,100,12.55,overcast clouds
38,Cape Town,ZA,-33.9258,18.4232,58.08,55,20,12.66,few clouds
39,Alyangula,AU,-13.8483,136.4192,80.47,78,90,5.75,overcast clouds
40,Puerto Del Rosario,ES,28.5004,-13.8627,74.88,78,20,17.27,few clouds
41,Kalengwa,ZM,-13.4659,25.0027,68.77,69,94,2.55,overcast clouds
42,Yulara,AU,-25.2406,130.9889,55.24,38,0,6.91,clear sky
43,Malpe,IN,13.35,74.7167,81.7,90,90,2.06,overcast clouds
44,Bluff,NZ,-46.6,168.3333,44.8,84,100,23.2,heavy intensity rain
45,Port Alfred,ZA,-33.5906,26.891,56.8,73,48,7.9,light rain
46,Saint-Philippe,RE,-21.3585,55.7679,71.22,82,44,14.58,light rain
47,Nago,JP,26.5881,127.9761,81.03,65,0,17.67,clear sky
48,Ribeira Grande,PT,38.5167,-28.7,73.8,83,20,11.5,few clouds
49,San Quintin,MX,30.4833,-115.95,80.6,39,100,8.25,overcast clouds
50,Visby,SE,57.6409,18.296,59.86,77,0,24.16,clear sky
51,Williamsburg,US,37.2707,-76.7075,86.76,67,100,4.0,overcast clouds
52,Clyde River,CA,70.4692,-68.5914,39.43,87,90,2.3,overcast clouds
53,Fukue,JP,32.6881,128.8419,76.96,74,3,18.28,clear sky
54,Buchanan,LR,5.8808,-10.0467,82.36,86,81,4.83,broken clouds
55,Hilo,US,19.7297,-155.09,73.62,84,90,4.61,light rain
56,Shwebo,MM,22.5667,95.7,75.92,87,99,6.11,overcast clouds
57,Manokwari,ID,-0.8667,134.0833,78.71,76,100,4.0,overcast clouds
58,Lebu,CL,-37.6167,-73.65,52.74,70,1,22.24,clear sky
59,Roma,US,43.2128,-75.4557,64.26,93,90,9.22,overcast clouds
60,Punta Arenas,CL,-53.15,-70.9167,42.91,75,75,35.68,light intensity shower rain
61,Bredasdorp,ZA,-34.5322,20.0403,50.29,87,13,0.0,few clouds
62,Albany,US,42.6001,-73.9662,67.75,86,100,0.25,overcast clouds
63,Hihya,EG,30.6713,31.588,76.08,70,0,5.79,clear sky
64,Mareeba,AU,-17.0,145.4333,69.44,93,33,2.98,scattered clouds
65,Turukhansk,RU,65.8167,87.9833,30.13,98,99,4.12,overcast clouds
66,Hamilton,US,39.1834,-84.5333,71.98,98,90,9.22,overcast clouds
67,Olafsvik,IS,64.8945,-23.7142,41.25,90,100,35.03,overcast clouds
68,Jamestown,US,42.097,-79.2353,69.44,63,90,7.0,overcast clouds
69,Alofi,NU,-19.0595,-169.9187,75.09,88,59,13.8,light rain
70,Jizan,SA,17.3333,42.6667,83.34,61,98,5.46,overcast clouds
71,Saskylakh,RU,71.9167,114.0833,16.77,93,98,10.45,overcast clouds
72,Barrow,US,71.2906,-156.7887,30.22,80,90,8.05,overcast clouds
73,Salalah,OM,17.0151,54.0924,82.49,83,75,8.05,broken clouds
74,Thompson,CA,55.7435,-97.8558,60.96,63,75,2.3,broken clouds
75,Mweka,CD,-4.85,21.5667,67.42,92,100,2.46,overcast clouds
76,Kapaa,US,22.0752,-159.319,80.58,86,90,3.0,heavy intensity rain
77,Atuona,PF,-9.8,-139.0333,77.56,74,15,17.78,few clouds
78,Camopi,GF,3.1655,-52.3158,92.71,39,100,3.18,overcast clouds
79,Brekstad,NO,63.687,9.6654,64.45,76,75,4.61,light rain
80,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,77,3,21.09,clear sky
81,Qaanaaq,GL,77.484,-69.3632,31.69,98,100,7.43,light snow
82,Saint-Francois,FR,46.4154,3.9054,55.47,100,75,3.44,light rain
83,Chernyshevsk,RU,52.5243,117.0174,32.25,72,2,1.95,clear sky
84,Kavieng,PG,-2.5744,150.7967,80.92,74,100,2.73,overcast clouds
85,Bengkulu,ID,-3.8004,102.2655,75.13,91,100,3.65,overcast clouds
86,Sao Filipe,CV,14.8961,-24.4956,80.38,76,100,7.02,overcast clouds
87,Harnoli,PK,32.2792,71.5539,88.45,48,0,8.68,clear sky
88,Hermanus,ZA,-34.4187,19.2345,54.9,71,37,7.11,scattered clouds
89,Georgetown,MY,5.4112,100.3354,81.9,87,20,5.01,few clouds
90,Tual,ID,-5.6667,132.75,80.73,66,100,6.64,overcast clouds
91,Hithadhoo,MV,-0.6,73.0833,83.23,75,86,16.98,overcast clouds
92,Huicheng,CN,23.0385,116.2899,82.35,81,6,12.77,clear sky
93,Ilebo,CD,-4.3167,20.5833,70.59,85,60,0.76,broken clouds
94,Oudtshoorn,ZA,-33.5907,22.2014,48.56,77,39,4.34,scattered clouds
95,Quatre Cocos,MU,-20.2078,57.7625,72.09,80,18,15.93,few clouds
96,Awjilah,LY,29.1081,21.2869,75.81,41,0,8.01,clear sky
97,East London,ZA,-33.0153,27.9116,56.34,82,20,0.0,light rain
98,Jalingo,NG,8.8833,11.3667,80.58,72,18,3.44,few clouds
99,Novikovo,RU,51.1537,37.8879,47.35,71,5,5.3,clear sky
100,Remanso,BR,-9.6179,-42.0831,90.18,33,1,11.99,clear sky
101,Hobart,AU,-42.8794,147.3294,54.1,92,90,0.0,overcast clouds
102,Sao Miguel,BR,-5.4667,-35.3667,86.77,62,7,19.04,clear sky
103,Chacarita,CR,9.9829,-84.7723,88.54,68,92,4.32,overcast clouds
104,Dalby,AU,-27.1833,151.2667,66.97,42,0,3.0,clear sky
105,Mount Gambier,AU,-37.8333,140.7667,49.91,93,75,11.5,broken clouds
106,Bima,ID,-8.4667,118.7167,74.62,85,45,5.03,scattered clouds
107,Zhigansk,RU,66.7697,123.3711,25.56,85,93,6.2,overcast clouds
108,Beloha,MG,-25.1667,45.05,71.94,79,2,1.83,clear sky
109,Channel-Port Aux Basques,CA,47.5702,-59.1367,55.17,72,66,12.73,broken clouds
110,Mapastepec,MX,15.4333,-92.9,87.4,70,53,5.75,broken clouds
111,Tuatapere,NZ,-46.1333,167.6833,44.82,94,100,3.27,light rain
112,Hofn,IS,64.2539,-15.2082,47.35,80,100,18.34,overcast clouds
113,Isabela,PH,6.7085,121.9711,77.05,81,100,12.59,overcast clouds
114,Lavrentiya,RU,65.5833,-171.0,23.27,71,16,3.83,few clouds
115,Port Hedland,AU,-20.3167,118.5667,59.05,77,5,8.05,clear sky
116,Krasnokamensk,RU,50.0979,118.0369,37.18,57,100,2.53,overcast clouds
117,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,75,13.8,broken clouds
118,Salym,RU,60.0625,71.4789,30.07,92,100,7.47,overcast clouds
119,Ilulissat,GL,69.2167,-51.1,30.22,64,100,5.75,overcast clouds
120,Alice Springs,AU,-23.7,133.8833,54.95,47,0,0.0,clear sky
121,Lakes Entrance,AU,-37.8811,147.981,59.58,90,100,3.31,overcast clouds
122,Mahanje,TZ,-9.9333,35.3333,67.98,53,10,3.74,clear sky
123,Mumford,GH,5.2618,-0.759,78.44,89,32,9.75,scattered clouds
124,Lethem,GY,3.3803,-59.7968,86.05,74,40,6.91,scattered clouds
125,Chuy,UY,-33.6971,-53.4616,61.56,55,26,12.21,scattered clouds
126,Otradnoye,RU,59.7775,30.8181,50.56,85,0,6.76,clear sky
127,Khatanga,RU,71.9667,102.5,17.01,95,99,10.42,overcast clouds
